plain_name,name,meaning,sample,note
account for,account for,"If you account for something, you explain how it came to be the way it is.",,FORMAL
act as,act as,to perform the same function as a particular person or thing,,
act for,act for,"If you act for someone, you represent them.",,
act on,act on,"If you act on somebody's advice, you do as they suggest.",,
act out,act out,"If you act out, you express your feelings through acts or words.",,
act up,act up,"If a part of your body or a piece of equipment acts up, it doesn't work properly.",,INFORMAL
add to,add to,"If something adds to something, it makes it better, greater, stronger or more extreme in some way.",,
add up,add up,to add two or more numbers in order to find the total amount,,
add up to,add up to,"If two or more numbers add up to another number, this is the total you get if you add them together.",,
adhere to,adhere to,"If you adhere to a law, a rule or a contract, you obey it or follow it.",,FORMAL
admit defeat,admit defeat,to accept that you cannot do something,"I thought I could fix the radio myself, but I had to admit defeat",
advise against,advise against,to suggest to someone that they should not do something they are thinking of doing,,FORMAL
advise of,advise of,"If you advise someone of something, you tell them about it.",,FORMAL
agree with,agree with,"If a certain place or lifestyle agrees with you, it suits you and is good for you.",,
aim at,aim at,"If you aim a product or a creative work at a particular group of people, you see those people as your market or your audience.",,
allow for,allow for,"to consider something, or take it into account, when making plans or making a decision",,
allude to,allude to,to mention or refer to something or someone in an indirect way,,FORMAL
amount to,amount to,"to be similar to, or to have the same effect as",,
answer back,answer back,"to reply rudely to someone who is in a position of authority, such as a teacher, a parent or a coach",,
answer for,answer for,to be held responsible for something,,
appeal for,appeal for,"to ask for something, usually in order to help deal with a crisis or an emergency",,
appeal to,appeal to,"If something appeals to you, you like it.",,
apply to,apply to,"If something applies to you, it is relevant to you or you are affected by it.",,
arrive at,arrive at,"to reach a result, a conclusion or a decision after considering relevant factors or details",,
ask after,ask after,"If you ask after someone, you ask about them when you talk to someone who's seen them recently.",,
ask for,ask for sb,to say that you would like to see or speak to someone,A young man was here asking for you this morning.,
ask for,ask for sb/sth,"If you say you couldn't ask for someone or something better, you mean that that person or thing is the best of their type",She's great to work for - I really couldn't ask for a better boss.,
ask out,ask out,"If you ask somebody out, you ask someone you like to go on a date with you.",,
ask over,ask over,"If you ask some people over, you invite them to your house.",,
associate with,associate with,"If you associate with someone, you regularly spend time with them.",,
attach to,attach to,to believe that something has importance or significance in relation to something else,,
attend to,attend to,to deal with something or someone,,
attribute to,attribute to,to believe that something results directly from a certain event or fact,,
auction off,auction off,to sell something to the highest bidder at an auction,,
average out at,average out at,to come to a certain amount on average,,
back down,back down,"to decide not to do something because of opposition, or because of pressure from authorities",,
back out,back out,"If you back out of something like an agreement or a deal, you decide not to follow through on it.",,
back up,back up,"to make an extra copy of digital information on disc, flash drive, external hard drive, etc. in case the original data is lost",,
back up,back up,"If you back up what you say, you use evidence or examples to show that it's true.",,
bail out,bail out,"to help out someone or something that's in serious trouble, especially financial trouble",,
bail out,bail out,to give money to a court so that an accused person doesn't have to stay in jail until their trial begins,,
bank on,bank on,"If you bank on something happening or someone doing something, you depend on it or count on it.",,
base on,base on,"to use specific information, ideas or past experiences as a basis for making a decision",,
base on,base on,to use something as source material,,
be all over,be sb all over,to be the typical behaviour of a particular person = She's always talking - that's Claire all over.,,INFORMAL
be/get over,be/get over sth,to feel physically or mentally better after an illness or an upsetting experience,It takes you a while to get over an illness like that.,
bear on,bear on,"to have relevance to, or influence on, something",,
bear out,bear out,to show that someone is correct or that something is true,,
beat up,beat up,"to hurt someone by punching, kicking or hitting them with a hard object",,
become of,become of,"If you ask what has become of someone you haven't seen or heard from for a long time, you want to know what's happened to them.",,
beef up,beef up,to make something stronger or more powerful,,
begin with,begin with,"If an activity or an event begins with something, that's the first thing that happens.",,
believe in,believe in,"If you believe in something, you're sure that it's true or it really exists.",,
belong to,belong to,"If something belongs to a person, it is owned by that person.",,
bend down,bend down,to move the upper part of your body forwards and downwards,,
bet on,bet on,to be sure that something will happen,,
bite off,bite off,to separate something from whatever it's attached to by biting it,,
black out,black out,to lose consciousness,,
blow away,blow away,to surprise or amaze someone,,
blow out,blow out,"If a flame blows out, it goes out because someone blows on it or because of the wind.",,
blow up,blow up,"If you blow up something, you use explosives to damage or destroy it.",,
blow up,blow up,to fill with air or gas in order to inflate something,,
blow up,blow up,to make a photograph larger,,
border on,border on,"If something like an action or an attitude borders on something more extreme, it is close to being that extreme.",,
